record_id,section_code,section_name,nfa_status,manufacturer_or_make,model,caliber_or_gauge,serial_number_range,date_or_year_range,atf_classification_details,first_published_edition,latest_published_edition,in_2025_publication,in_2018_publication,in_2007_publication,full_raw_entry
CR-SectionII-0751,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Smith and Wesson,Model 624,cal. .44,S/Ns SWC 0001 through SWC 0184,mfd. in 1977,"Model 624 revolver, First Issue, cal. .44 Target, engraved year “1985"" over the issue number (1-25) on the right sideplate. Smith & Wesson Collector’s Association, 25th Anniversary Commemorative revolver 1970-1995, Model 29, .44 Magnum caliber, S/Ns SWC 0001 through SWC 0184. Smith & Wesson, 125th anniversary Commemorative, model 25, revolver, cal. .45, marked ""Smith & Wesson 125th Anniversary"" and mfd. in 1977. Smith & Wesson, 150th anniversary Texas Ranger Commemorative model 19 revolver. Smith & Wesson, 1st model, Ladysmith revolver, cal. .22 rimfire long. Smith & Wesson, .22/32 Kit Gun, cal. .22LR, S/Ns 525670 - 534636 (no letter). Smith & Wesson, 2nd model, Ladysmith revolver, cal. .22 rimfire long. Smith & Wesson, 2nd model, single shot pistol, cals. .22 rimfire, .32 S&W and .38 S&W. Smith & Wesson, .32 Double Action Top Break, cal. .32 S&W, S/Ns 209302 and higher. Smith & Wesson, .32 Safety Hammerless Top Break (New Departure), cal. .32 S&W, S/Ns 91401 and higher. Smith & Wesson, .357 Magnum Hand Ejector, cal. .357 Magnum, S/Ns 45768 to 60000 (no letter). Smith & Wesson, .38 Double Action Top Break Perfected model, cal. .38 S&W. Smith & Wesson, .38 Double Action Top Break, cal. .38 S&W, S/Ns 382023 and higher. Smith & Wesson, .38 Hand Ejector Military and Police, cal. .38, S/Ns 1 to 241703 (no letter). Smith & Wesson, .38 Safety Hammerless Top Break (New Departure), cal. .38 S&W, S/Ns 19901 and higher. Smith & Wesson, .38/44 Outdoorsman & Heavy Duty, cal. .38, S/Ns 36500-62023 (no letter). Smith & Wesson, 3rd model, Ladysmith revolver, cal. .22 rimfire long. Smith & Wesson, 3rd model, single shot pistol, cals. .22 rimfire, .32 S&W and .38 S&W. Smith & Wesson, 4 screw side plate revolvers, old style N-frame series, with no model designation stamped in the yoke cut, in cal. .44 magnum, all barrel lengths, falling within the S130000- Sl60350 block of S/Ns, of which a total of 6,500 units were produced from 1956 to 1958. Smith & Wesson, .44 Hand Ejector, all cal., S/Ns 1-62488 (no letter). Smith & Wesson, .455 Mark II Hand Ejector, caliber .455. Smith & Wesson, California Highway Patrol Commemorative model 19 revolver, cal. .357. Smith & Wesson, City of Los Angeles 200th Anniversary Commemorative model 19 revolver, cal. .357. Smith & Wesson, K-22 Hand Ejector, cal. .22 LR, S/Ns 632132-696952 (no letter). Smith & Wesson, K-32 Hand Ejector (K-32 Masterpiece), cal. .32 S&W Long, S/Ns 653388 to 682207 (no letter). Smith & Wesson, Mercox Dart Gun, cal. .22 rimfire, blank. Smith & Wesson, Model 16 (K-32 Masterpiece), cal. .32 S&W Long, ""K"" S/N series. Smith & Wesson, model 21, .44 Special caliber, also known as the"".44 Hand Ejector Fourth Model"" and the ""1950 Model Military,"" having S/Ns S75,000 - S263,000. Smith & Wesson, Model .22/32 Hand Ejector (Bekeart model), cal. .22LR, S/Ns 138220 to 534636 (no letter). Smith & Wesson, Model 29 ""Elmer Keith Commemorative"" .44 magnum revolvers, S/N EMK1 – EMK2500. Smith & Wesson, Model 39, Connecticut State Police 75th Anniversary 1903-1978, pistols, S/Ns CSP001 – CSP704. Smith & Wesson, Model 39, steel frame pistol, cal. 9mm parabellum. Smith & Wesson, Model 39-1 (52-A), pistol, cal. 9mm parabellum. Smith & Wesson, Model 53, Remington Jet Center Fire Magnum, cal. .22. Smith & Wesson, Model 41-1 .22 short cal. semiautomatic pistols. Smith & Wesson, Model 42 Centennial Airweight .38 Special 5-shot revolvers, with aluminum alloy frames and cylinders. Smith & Wesson, Model 45 Military & Police .22LR cal. revolvers. Smith & Wesson, Model 46 .22LR caliber semiautomatic pistols. Smith & Wesson, Model 56 U.S. Air Force contract .38 Special 6-shot revolvers, S/N K500001 through K515001. * Smith & Wesson Model 66 Bureau of Alcohol, Tobacco & Firearms 1933 – 1983 50th Anniversary Commemorative .357 magnum caliber revolvers, having a “BATF” prefix serial number and miniature replica of an agent’s badge engraved into the frame. Smith & Wesson Model 66 Distinguished Combat Magnum, caliber .357 magnum revolver, marked with the Texas Sheriff's Association badge and ""TEXAS LAWMAN"" on the right side of the frame, commemorating 150 years of law enforcement in Texas 1836-1986. Smith & Wesson model 66, Dallas Police Department Commemorative Edition 1881-1981. Smith & Wesson, Model 66, ""Naval Investigative Service Commemorative"" .357 6-shot revolvers. Smith & Wesson, Model 147-A, 9mm 14-shot semiautomatic pistols. Smith & Wesson, Model 544, ""Texas Wagon Train Commemorative"" .44/40 cal. 6-shot revolvers, S/N TWT001 through TWT7800. Smith & Wesson, .45 hand ejector model of 1950 Military, .45 caliber, having S/Ns between S76000 and S263000. Smith & Wesson, Model 1917 revolver, cal. .45 ACP, produced for Brazil. Smith & Wesson, Model Straight Line, single shot pistol, cal. .22 rimfire long rifle. Smith & Wesson, pistol, caliber .32 ACP. Smith & Wesson, pistol, caliber .35, all variations. Smith & Wesson Registered Model 27 revolvers, cal. .357-magnum, 50 Yr. Commemorative, 5"" barrel, S/Ns REG0001 through REG2500, inclusive. Smith & Wesson U.S. Air Force contract M13 Aircrewman .38 Special 5-shot J frame and 6-shot K frame revolvers. Smith & Wesson, U.S. Border Patrol 50th Anniversary Commemorative, model 66, stainless steel, cal. .357 Magnum, revolvers.",ATF P 5300.11 (Dec 2007),ATF P 5300.11 (Dec 2007),FALSE,FALSE,TRUE,"Smith and Wesson, Model 624 revolver, First Issue, cal. .44 Target, engraved year “1985"" over the issue number (1-25) on the right sideplate. Smith & Wesson Collector’s Association, 25th Anniversary Commemorative revolver 1970-1995, Model 29, .44 Magnum caliber, S/Ns SWC 0001 through SWC 0184. Smith & Wesson, 125th anniversary Commemorative, model 25, revolver, cal. .45, marked ""Smith & Wesson 125th Anniversary"" and mfd. in 1977. Smith & Wesson, 150th anniversary Texas Ranger Commemorative model 19 revolver. Smith & Wesson, 1st model, Ladysmith revolver, cal. .22 rimfire long. Smith & Wesson, .22/32 Kit Gun, cal. .22LR, S/Ns 525670 - 534636 (no letter). Smith & Wesson, 2nd model, Ladysmith revolver, cal. .22 rimfire long. Smith & Wesson, 2nd model, single shot pistol, cals. .22 rimfire, .32 S&W and .38 S&W. Smith & Wesson, .32 Double Action Top Break, cal. .32 S&W, S/Ns 209302 and higher. Smith & Wesson, .32 Safety Hammerless Top Break (New Departure), cal. .32 S&W, S/Ns 91401 and higher. Smith & Wesson, .357 Magnum Hand Ejector, cal. .357 Magnum, S/Ns 45768 to 60000 (no letter). Smith & Wesson, .38 Double Action Top Break Perfected model, cal. .38 S&W. Smith & Wesson, .38 Double Action Top Break, cal. .38 S&W, S/Ns 382023 and higher. Smith & Wesson, .38 Hand Ejector Military and Police, cal. .38, S/Ns 1 to 241703 (no letter). Smith & Wesson, .38 Safety Hammerless Top Break (New Departure), cal. .38 S&W, S/Ns 19901 and higher. Smith & Wesson, .38/44 Outdoorsman & Heavy Duty, cal. .38, S/Ns 36500-62023 (no letter). Smith & Wesson, 3rd model, Ladysmith revolver, cal. .22 rimfire long. Smith & Wesson, 3rd model, single shot pistol, cals. .22 rimfire, .32 S&W and .38 S&W. Smith & Wesson, 4 screw side plate revolvers, old style N-frame series, with no model designation stamped in the yoke cut, in cal. .44 magnum, all barrel lengths, falling within the S130000- Sl60350 block of S/Ns, of which a total of 6,500 units were produced from 1956 to 1958. Smith & Wesson, .44 Hand Ejector, all cal., S/Ns 1-62488 (no letter). Smith & Wesson, .455 Mark II Hand Ejector, caliber .455. Smith & Wesson, California Highway Patrol Commemorative model 19 revolver, cal. .357. Smith & Wesson, City of Los Angeles 200th Anniversary Commemorative model 19 revolver, cal. .357. Smith & Wesson, K-22 Hand Ejector, cal. .22 LR, S/Ns 632132-696952 (no letter). Smith & Wesson, K-32 Hand Ejector (K-32 Masterpiece), cal. .32 S&W Long, S/Ns 653388 to 682207 (no letter). Smith & Wesson, Mercox Dart Gun, cal. .22 rimfire, blank. Smith & Wesson, Model 16 (K-32 Masterpiece), cal. .32 S&W Long, ""K"" S/N series. Smith & Wesson, model 21, .44 Special caliber, also known as the"".44 Hand Ejector Fourth Model"" and the ""1950 Model Military,"" having S/Ns S75,000 - S263,000. Smith & Wesson, Model .22/32 Hand Ejector (Bekeart model), cal. .22LR, S/Ns 138220 to 534636 (no letter). Smith & Wesson, Model 29 ""Elmer Keith Commemorative"" .44 magnum revolvers, S/N EMK1 – EMK2500. Smith & Wesson, Model 39, Connecticut State Police 75th Anniversary 1903-1978, pistols, S/Ns CSP001 – CSP704. Smith & Wesson, Model 39, steel frame pistol, cal. 9mm parabellum. Smith & Wesson, Model 39-1 (52-A), pistol, cal. 9mm parabellum. Smith & Wesson, Model 53, Remington Jet Center Fire Magnum, cal. .22. Smith & Wesson, Model 41-1 .22 short cal. semiautomatic pistols. Smith & Wesson, Model 42 Centennial Airweight .38 Special 5-shot revolvers, with aluminum alloy frames and cylinders. Smith & Wesson, Model 45 Military & Police .22LR cal. revolvers. Smith & Wesson, Model 46 .22LR caliber semiautomatic pistols. Smith & Wesson, Model 56 U.S. Air Force contract .38 Special 6-shot revolvers, S/N K500001 through K515001. * Smith & Wesson Model 66 Bureau of Alcohol, Tobacco & Firearms 1933 – 1983 50th Anniversary Commemorative .357 magnum caliber revolvers, having a “BATF” prefix serial number and miniature replica of an agent’s badge engraved into the frame. Smith & Wesson Model 66 Distinguished Combat Magnum, caliber .357 magnum revolver, marked with the Texas Sheriff's Association badge and ""TEXAS LAWMAN"" on the right side of the frame, commemorating 150 years of law enforcement in Texas 1836-1986. Smith & Wesson model 66, Dallas Police Department Commemorative Edition 1881-1981. Smith & Wesson, Model 66, ""Naval Investigative Service Commemorative"" .357 6-shot revolvers. Smith & Wesson, Model 147-A, 9mm 14-shot semiautomatic pistols. Smith & Wesson, Model 544, ""Texas Wagon Train Commemorative"" .44/40 cal. 6-shot revolvers, S/N TWT001 through TWT7800. Smith & Wesson, .45 hand ejector model of 1950 Military, .45 caliber, having S/Ns between S76000 and S263000. Smith & Wesson, Model 1917 revolver, cal. .45 ACP, produced for Brazil. Smith & Wesson, Model Straight Line, single shot pistol, cal. .22 rimfire long rifle. Smith & Wesson, pistol, caliber .32 ACP. Smith & Wesson, pistol, caliber .35, all variations. Smith & Wesson Registered Model 27 revolvers, cal. .357-magnum, 50 Yr. Commemorative, 5"" barrel, S/Ns REG0001 through REG2500, inclusive. Smith & Wesson U.S. Air Force contract M13 Aircrewman .38 Special 5-shot J frame and 6-shot K frame revolvers. Smith & Wesson, U.S. Border Patrol 50th Anniversary Commemorative, model 66, stainless steel, cal. .357 Magnum, revolvers."
CR-SectionII-0752,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Sosso,,cal. 9mm,,,"pistols, mfd. by Giulio Sosso, Turin, Italy, or Fabrica Nationale D'Armi, Brescia, Italy, cal. 9mm.",ATF C&R List (Jan 1972 - Apr 2018),ATF C&R List (Jan 1972 - Apr 2025),TRUE,TRUE,FALSE,"Sosso, pistols, mfd. by Giulio Sosso, Turin, Italy, or Fabrica Nationale D'Armi, Brescia, Italy, cal. 9mm."
CR-SectionII-0753,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Sosso,,cal. 9mm,,,"pistols, mfd. by Guilio Sosso, Turin, Italy, or Fabrica Nationale D'Armi, Brescia, Italy, cal. 9mm.",ATF P 5300.11 (Dec 2007),ATF P 5300.11 (Dec 2007),FALSE,FALSE,TRUE,"Sosso, pistols, mfd. by Guilio Sosso, Turin, Italy, or Fabrica Nationale D'Armi, Brescia, Italy, cal. 9mm."
CR-SectionII-0754,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Springfield,Garand,cal. .30,S/Ns WW0001 to WW2500,,"M1 Garand, semiautomatic rifle, World War II Commemorative, cal. .30, S/Ns WW0001 to WW2500.",ATF C&R List (Jan 1972 - Apr 2018),ATF C&R List (Jan 1972 - Apr 2025),TRUE,TRUE,FALSE,"Springfield, M1 Garand, semiautomatic rifle, World War II Commemorative, cal. .30, S/Ns WW0001 to WW2500."
CR-SectionII-0755,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Springfield Armory,,cal. .30,,,"M1, cal. .30, manufactured from 1936 until early 1940 and incorporating the early type gas system, which does not utilize a gas port drilled into the barrel.",ATF C&R List (Jan 1972 - Apr 2018),ATF C&R List (Jan 1972 - Apr 2025),TRUE,TRUE,FALSE,"Springfield Armory, M1, cal. .30, manufactured from 1936 until early 1940 and incorporating the early type gas system, which does not utilize a gas port drilled into the barrel."
CR-SectionII-0756,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Springfield Armory,Garand,cal.,S/Ns from KW0001 to KW1000,,"Inc., Korean War Commemorative .30 cal., MI Garand Rifle S/Ns from KW0001 to KW1000.",ATF P 5300.11 (Dec 2007),ATF P 5300.11 (Dec 2007),FALSE,FALSE,TRUE,"Springfield Armory, Inc., Korean War Commemorative .30 cal., MI Garand Rifle S/Ns from KW0001 to KW1000."
CR-SectionII-0757,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Springfield Armory,Garand,cal. .30,S/Ns from KW0001 to KW1000,,"Inc., Korean War Commemorative, cal. .30, MI Garand Rifle S/Ns from KW0001 to KW1000.",ATF C&R List (Jan 1972 - Apr 2018),ATF C&R List (Jan 1972 - Apr 2025),TRUE,TRUE,FALSE,"Springfield Armory, Inc., Korean War Commemorative, cal. .30, MI Garand Rifle S/Ns from KW0001 to KW1000."
CR-SectionII-0758,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Springfield Armory,Garand,cal. .30,S/N 2502800,,"M1 Garand semiautomatic rifle, cal. .30, S/N 2502800.",ATF C&R List (Jan 1972 - Apr 2018),ATF C&R List (Jan 1972 - Apr 2025),TRUE,TRUE,FALSE,"Springfield Armory, M1 Garand semiautomatic rifle, cal. .30, S/N 2502800."
CR-SectionII-0759,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Standard Arms Co.,,cal. .50.,,,"rifle/shotgun combination, U.S., Model ""Camp,"" slide action, cal. .50.",ATF P 5300.11 (Dec 2007),ATF C&R List (Jan 1972 - Apr 2025),TRUE,TRUE,TRUE,"Standard Arms Co., rifle/shotgun combination, U.S., Model ""Camp,"" slide action, cal. .50."
CR-SectionII-0760,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Standard Arms Co.,Model G,cal.,,,"rifle Model G, slide action or gas operated, any cal.",ATF C&R List (Jan 1972 - Apr 2018),ATF C&R List (Jan 1972 - Apr 2025),TRUE,TRUE,FALSE,"Standard Arms Co., rifle Model G, slide action or gas operated, any cal."
