record_id,section_code,section_name,nfa_status,manufacturer_or_make,model,caliber_or_gauge,serial_number_range,date_or_year_range,atf_classification_details,first_published_edition,latest_published_edition,in_2025_publication,in_2018_publication,in_2007_publication,full_raw_entry
CR-SectionII-0761,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Standard Arms Co.,model G,caliber.,,,"rifle model G, slide action or gas operated, any caliber.",ATF P 5300.11 (Dec 2007),ATF P 5300.11 (Dec 2007),FALSE,FALSE,TRUE,"Standard Arms Co., rifle model G, slide action or gas operated, any caliber."
CR-SectionII-0762,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Standard Arms Co.,model M,caliber .25,,,"rifle model M, slide action caliber .25-.35, .30 Rem. and .35 Rem. * Stevens, Models 425, 430, 435, and 440 High-Power Repeating Rifles in calibers .25 Remington, .30 Remington, .32 Remington, and .35 Remington.",ATF P 5300.11 (Dec 2007),ATF P 5300.11 (Dec 2007),FALSE,FALSE,TRUE,"Standard Arms Co., rifle model M, slide action caliber .25-.35, .30 Rem. and .35 Rem. * Stevens, Models 425, 430, 435, and 440 High-Power Repeating Rifles in calibers .25 Remington, .30 Remington, .32 Remington, and .35 Remington."
CR-SectionII-0763,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Standard Arms Co.,Model M,cal.,,,"rifle Model M, slide action, cal.’s .25-.35, .30 Rem. and .35 Rem.",ATF C&R List (Jan 1972 - Apr 2018),ATF C&R List (Jan 1972 - Apr 2025),TRUE,TRUE,FALSE,"Standard Arms Co., rifle Model M, slide action, cal.’s .25-.35, .30 Rem. and .35 Rem."
CR-SectionII-0764,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Stevens,,cal.,,,"Models 425, 430, 435, and 440 High-Power Repeating Rifles, cal.’s .25 Remington, .30 Remington, .32 Remington, and .35 Remington.",ATF C&R List (Jan 1972 - Apr 2018),ATF C&R List (Jan 1972 - Apr 2025),TRUE,TRUE,FALSE,"Stevens, Models 425, 430, 435, and 440 High-Power Repeating Rifles, cal.’s .25 Remington, .30 Remington, .32 Remington, and .35 Remington."
CR-SectionII-0765,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Stevens,Model 77E,12 gauge,,from 1963 to 1969,"Model 77E, 12 gauge, military riot type shotguns, properly marked and identified as mfd. for the U.S. Military, from 1963 to 1969, in original configuration.",ATF P 5300.11 (Dec 2007),ATF P 5300.11 (Dec 2007),FALSE,FALSE,TRUE,"Stevens, Model 77E, 12 gauge, military riot type shotguns, properly marked and identified as mfd. for the U.S. Military, from 1963 to 1969, in original configuration."
CR-SectionII-0766,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Stevens,Model 77E,cal. 12 gauge,,from 1963 to 1969,"Model 77E, cal. 12 gauge, military riot type shotguns, properly marked and identified as mfd. for the U.S. Military, from 1963 to 1969, in original configuration.",ATF C&R List (Jan 1972 - Apr 2018),ATF C&R List (Jan 1972 - Apr 2025),TRUE,TRUE,FALSE,"Stevens, Model 77E, cal. 12 gauge, military riot type shotguns, properly marked and identified as mfd. for the U.S. Military, from 1963 to 1969, in original configuration."
CR-SectionII-0767,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Steyr,model 1909,cal.,,,"model 1909, .25 ACP cal. semiautomatic pistol.",ATF P 5300.11 (Dec 2007),ATF P 5300.11 (Dec 2007),FALSE,FALSE,TRUE,"Steyr, model 1909, .25 ACP cal. semiautomatic pistol."
CR-SectionII-0768,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Steyr,Model 1909,cal. .25 ACP,,,"Model 1909, cal. .25 ACP, semiautomatic pistol.",ATF C&R List (Jan 1972 - Apr 2018),ATF C&R List (Jan 1972 - Apr 2025),TRUE,TRUE,FALSE,"Steyr, Model 1909, cal. .25 ACP, semiautomatic pistol."
CR-SectionII-0769,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Steyr-Hahn,M1912,cal. 9mm,,,"M1912, pistol, cal. 9mm Parabellum, marked with Third Reich police acceptance stamps of Eagle C, F, K, or L.",ATF P 5300.11 (Dec 2007),ATF C&R List (Jan 1972 - Apr 2025),TRUE,TRUE,TRUE,"Steyr-Hahn, M1912, pistol, cal. 9mm Parabellum, marked with Third Reich police acceptance stamps of Eagle C, F, K, or L."
CR-SectionII-0770,Section II,Firearms Classified as Curios or Relics Under 18 U.S.C. Chapter 44 (GCA),GCA Only (Not NFA),Steyr-Hahn,M1912,cal. 9mm,,,"M1912, pistol, cal. 9mm Steyr.",ATF P 5300.11 (Dec 2007),ATF C&R List (Jan 1972 - Apr 2025),TRUE,TRUE,TRUE,"Steyr-Hahn, M1912, pistol, cal. 9mm Steyr."
